source: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4860518/pdf/cpe-25-071.pdf
	Growth charts for Japanese children	
April 2016						73
Table 2	LMS values of height for Japanese children		
		Male			Female	
Age (yr)						
	L	M	S	L	M	S
0	2.300	49.0	0.0417	1.200	48.5	0.0390
0.25	2.212	61.5	0.0378	1.159	60.1	0.0361
0.5	2.124	67.7	0.0351	1.117	66.2	0.0341
0.75	2.036	71.6	0.0335	1.076	70.2	0.0327
1	1.948	74.8	0.0328	1.034	73.5	0.0318
1.25	1.861	77.8	0.0328	0.993	76.6	0.0316
1.5	1.773	80.7	0.0332	0.952	79.5	0.0317
1.75	1.685	83.4	0.0340	0.910	82.2	0.0321
2	1.597	85.8	0.0348	0.869	84.6	0.0328
2.5	1.421	89.7	0.0364	0.786	88.4	0.0344
3	1.245	93.5	0.0378	0.703	91.8	0.0361
3.5	1.069	97.1	0.0386	0.620	95.4	0.0376
4	0.894	100.4	0.0392	0.538	99.4	0.0389
4.5	0.718	103.6	0.0397	0.455	103.2	0.0399
5	0.542	106.8	0.0403	0.372	106.7	0.0406
5.5	0.366	110.1	0.0410	0.289	109.7	0.0411
6	0.190	113.3	0.0417	0.206	112.7	0.0414
6.5	0.015	116.4	0.0423	0.124	115.5	0.0416
7	-0.161	119.5	0.0426	0.041	118.3	0.0418
7.5	-0.337	122.4	0.0426	-0.042	121.2	0.0421
8	-0.513	125.1	0.0424	-0.114	124.1	0.0428
8.5	-0.689	127.8	0.0421	-0.036	127.2	0.0438
9	-0.864	130.4	0.0420	0.213	130.4	0.0451
9.5	-1.040	133.1	0.0424	0.599	133.8	0.0466
10	-1.216	135.9	0.0435	1.055	137.2	0.0477
10.5	-1.392	138.8	0.0453	1.506	140.6	0.0481
11	-1.401	142.0	0.0476	1.879	144.0	0.0472
11.5	-0.965	145.4	0.0500	2.118	147.2	0.0447
12	-0.275	149.0	0.0519	2.190	150.0	0.0410
12.5	0.428	153.1	0.0526	2.090	152.1	0.0367
13	0.931	157.0	0.0517	1.843	153.8	0.0342
13.5	1.090	160.5	0.0491	1.498	155.1	0.0324
14	0.865	163.4	0.0453	1.124	155.9	0.0314
14.5	0.323	165.6	0.0414	0.801	156.6	0.0310
15	-0.370	167.3	0.0382	0.602	157.0	0.0310
15.5	-0.982	168.6	0.0358	0.579	157.3	0.0310
16	-1.267	169.5	0.0344	0.742	157.5	0.0310
16.5	-1.031	170.1	0.0340	1.032	157.7	0.0310
17	-0.516	170.5	0.0340	1.295	157.8	0.0310
17.5	0.000	170.8	0.0340	1.250	157.8	0.0310
