source: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4860518/pdf/cpe-25-071.pdf
		Isojima et al.		Vol.25 / No.2
74						
Table 3	LMS values of weight for Japanese children		
		Male			Female	
Age (yr)						
	L	M	S	L	M	S
0	0.774	3.00	0.149	0.754	2.95	0.146
0.25	0.490	6.31	0.131	0.375	5.86	0.126
0.5	0.262	7.93	0.119	0.083	7.32	0.113
0.75	0.082	8.80	0.110	-0.139	8.14	0.106
1	-0.062	9.38	0.105	-0.303	8.72	0.103
1.25	-0.177	9.91	0.102	-0.422	9.26	0.102
1.5	-0.269	10.4	0.101	-0.506	9.82	0.102
1.75	-0.344	11.0	0.102	-0.563	10.4	0.104
2	-0.408	11.5	0.103	-0.602	11.0	0.105
2.5	-0.513	12.5	0.108	-0.646	12.1	0.110
3	-0.607	13.5	0.113	-0.677	13.1	0.114
3.5	-0.703	14.5	0.119	-0.718	14.0	0.118
4	-0.804	15.5	0.123	-0.778	15.1	0.122
4.5	-0.913	16.5	0.127	-0.861	16.1	0.127
5	-1.026	17.5	0.131	-0.960	17.1	0.131
5.5	-1.136	18.5	0.134	-1.068	18.2	0.137
6	-1.236	19.6	0.138	-1.171	19.4	0.142
6.5	-1.321	20.9	0.142	-1.259	20.6	0.148
7	-1.384	22.2	0.146	-1.319	21.9	0.154
7.5	-1.420	23.5	0.152	-1.344	23.2	0.159
8	-1.429	25.0	0.159	-1.328	24.5	0.164
8.5	-1.407	26.4	0.166	-1.269	25.9	0.169
9	-1.358	28.0	0.174	-1.169	27.4	0.174
9.5	-1.284	29.6	0.182	-1.037	29.2	0.180
10	-1.191	31.4	0.189	-0.884	31.2	0.185
10.5	-1.084	33.4	0.195	-0.722	33.6	0.190
11	-0.971	35.6	0.200	-0.572	36.3	0.194
11.5	-0.862	38.1	0.204	-0.448	39.0	0.195
12	-0.764	40.7	0.206	-0.368	41.5	0.194
12.5	-0.686	43.6	0.205	-0.346	43.8	0.187
13	-0.636	46.3	0.201	-0.389	45.8	0.176
13.5	-0.619	49.0	0.196	-0.496	47.5	0.164
14	-0.642	51.6	0.187	-0.653	48.8	0.154
14.5	-0.705	54.0	0.178	-0.830	49.8	0.147
15	-0.809	55.9	0.169	-0.976	50.6	0.142
15.5	-0.952	57.5	0.161	-1.012	51.2	0.139
16	-1.127	58.8	0.155	-1.072	51.6	0.138
16.5	-1.325	59.7	0.151	-1.132	51.9	0.137
17	-1.534	60.4	0.147	-1.192	52.1	0.135
17.5	-1.739	60.9	0.141	-1.252	52.3	0.134
