sex	age	l	m	s
1	61	-0.2026	18.5057	0.12988
1	62	-0.213	18.6802	0.13028
1	63	-0.2234	18.8563	0.13067
1	64	-0.2338	19.034	0.13105
1	65	-0.2443	19.2132	0.13142
1	66	-0.2548	19.394	0.13178
1	67	-0.2653	19.5765	0.13213
1	68	-0.2758	19.7607	0.13246
1	69	-0.2864	19.9468	0.13279
1	70	-0.2969	20.1344	0.13311
1	71	-0.3075	20.3235	0.13342
1	72	-0.318	20.5137	0.13372
1	73	-0.3285	20.7052	0.13402
1	74	-0.339	20.8979	0.13432
1	75	-0.3494	21.0918	0.13462
1	76	-0.3598	21.287	0.13493
1	77	-0.3701	21.4833	0.13523
1	78	-0.3804	21.681	0.13554
1	79	-0.3906	21.8799	0.13586
1	80	-0.4007	22.08	0.13618
1	81	-0.4107	22.2813	0.13652
1	82	-0.4207	22.4837	0.13686
1	83	-0.4305	22.6872	0.13722
1	84	-0.4402	22.8915	0.13759
1	85	-0.4499	23.0968	0.13797
1	86	-0.4594	23.3029	0.13838
1	87	-0.4688	23.5101	0.1388
1	88	-0.4781	23.7182	0.13923
1	89	-0.4873	23.9272	0.13969
1	90	-0.4964	24.1371	0.14016
1	91	-0.5053	24.3479	0.14065
1	92	-0.5142	24.5595	0.14117
1	93	-0.5229	24.7722	0.1417
1	94	-0.5315	24.9858	0.14226
1	95	-0.5399	25.2005	0.14284
1	96	-0.5482	25.4163	0.14344
1	97	-0.5564	25.6332	0.14407
1	98	-0.5644	25.8513	0.14472
1	99	-0.5722	26.0706	0.14539
1	100	-0.5799	26.2911	0.14608
1	101	-0.5873	26.5128	0.14679
1	102	-0.5946	26.7358	0.14752
1	103	-0.6017	26.9602	0.14828
1	104	-0.6085	27.1861	0.14905
1	105	-0.6152	27.4137	0.14984
1	106	-0.6216	27.6432	0.15066
1	107	-0.6278	27.875	0.15149
1	108	-0.6337	28.1092	0.15233
1	109	-0.6393	28.3459	0.15319
1	110	-0.6446	28.5854	0.15406
1	111	-0.6496	28.8277	0.15493
1	112	-0.6543	29.0731	0.15581
1	113	-0.6585	29.3217	0.1567
1	114	-0.6624	29.5736	0.1576
1	115	-0.6659	29.8289	0.1585
1	116	-0.6689	30.0877	0.1594
1	117	-0.6714	30.3501	0.16031
1	118	-0.6735	30.616	0.16122
1	119	-0.6752	30.8854	0.16213
1	120	-0.6764	31.1586	0.16305
1	121	-0.6764	31.1586	0.16305
1	122	-0.915856606	31.71547021	0.166264254
1	123	-0.919445653	32.00528154	0.167118597
1	124	-0.921896044	32.29938655	0.167982878
1	125	-0.923212608	32.59815166	0.168861072
1	126	-0.923402008	32.9019405	0.16975652
1	127	-0.922449626	33.21084056	0.170671631
1	128	-0.920328095	33.52462611	0.171609672
1	129	-0.917000159	33.84277286	0.172571987
1	130	-0.91243114	34.16440115	0.173560704
1	131	-0.906594342	34.48845714	0.174575447
1	132	-0.899478763	34.81438768	0.175615963
1	133	-0.891090084	35.14203875	0.176683959
1	134	-0.881450536	35.47107964	0.177780119
1	135	-0.870609269	35.80171862	0.178904558
1	136	-0.858627852	36.13444243	0.180054697
1	137	-0.845548157	36.469695	0.181226602
1	138	-0.831405094	36.80806186	0.182419413
1	139	-0.81625495	37.14994548	0.183634226
1	140	-0.800117184	37.49592911	0.184870708
1	141	-0.783014911	37.84705878	0.186123021
1	142	-0.764968203	38.20456943	0.18738378
1	143	-0.746017006	38.56959363	0.188643542
1	144	-0.72626161	38.94345505	0.189891545
1	145	-0.705797263	39.32760904	0.191115827
1	146	-0.684755735	39.72344456	0.192300997
1	147	-0.663258277	40.13257279	0.193434599
1	148	-0.641467048	40.55636011	0.194509504
1	149	-0.619542815	40.99570459	0.195519185
1	150	-0.597646063	41.45120356	0.196457076
1	151	-0.575927588	41.92267249	0.197317109
1	152	-0.55447479	42.40939841	0.198097404
1	153	-0.533366661	42.91041239	0.19879516
1	154	-0.51266531	43.42480264	0.199405395
1	155	-0.492465515	43.95145329	0.199919758
1	156	-0.472815805	44.4895705	0.200332289
1	157	-0.453738945	45.03814028	0.200638596
1	158	-0.435230426	45.59612382	0.200835379
1	159	-0.417282904	46.16209391	0.200922009
1	160	-0.399904735	46.73377594	0.200900673
1	161	-0.383091328	47.30888092	0.200772044
1	162	-0.36685553	47.88531985	0.20053719
1	163	-0.351209479	48.46162955	0.200194434
1	164	-0.33618081	49.03631709	0.199743032
1	165	-0.321749583	49.60813055	0.19918404
1	166	-0.307917673	50.17568092	0.198520407
1	167	-0.294712426	50.73785616	0.197753722
1	168	-0.282202468	51.2934147	0.196885364
1	169	-0.27044398	51.84157502	0.195916298
1	170	-0.25950386	52.38142034	0.194852135
1	171	-0.24942813	52.91200653	0.193701702
1	172	-0.240245614	53.43238497	0.192473089
1	173	-0.231994462	53.94178686	0.19117394
1	174	-0.224718859	54.43974337	0.189815328
1	175	-0.21846547	54.92652469	0.188406788
1	176	-0.213291368	55.4030932	0.18695469
1	177	-0.209248033	55.87016152	0.185465957
1	178	-0.206322994	56.32843176	0.183949318
1	179	-0.20447304	56.77827415	0.18241444
1	180	-0.203627848	57.21962139	0.180870981
1	181	-0.203687243	57.65213647	0.179326222
1	182	-0.204555469	58.07542747	0.177785466
1	183	-0.206124692	58.48917523	0.176253856
1	184	-0.208314084	58.89332901	0.174737179
1	185	-0.211102061	59.28811362	0.17324471
1	186	-0.214472358	59.67380631	0.17178435
1	187	-0.218404888	60.05057252	0.170361138
1	188	-0.222888065	60.41858968	0.168973456
1	189	-0.227896953	60.77790043	0.167620962
1	190	-0.233417136	61.1284271	0.166302467
1	191	-0.239448984	61.47008534	0.165018604
1	192	-0.245987642	61.80285137	0.163773369
1	193	-0.253028815	62.12671507	0.162569343
1	194	-0.260547236	62.44191955	0.16140974
1	195	-0.268502861	62.7486497	0.160295441
1	196	-0.276856371	63.04732123	0.159228171
1	197	-0.285569951	63.33815076	0.158211366
1	198	-0.294571112	63.62136424	0.157248646
1	199	-0.303804823	63.89694451	0.156338942
1	200	-0.313209771	64.16486254	0.155482096
1	201	-0.322738356	64.425153	0.154676954
1	202	-0.332333842	64.67806959	0.15392358
1	203	-0.341936604	64.92420881	0.153220085
1	204	-0.351485896	65.16422032	0.152563831
1	205	-0.360931353	65.39885292	0.151951743
1	206	-0.370212084	65.62858861	0.151380948
1	207	-0.379270643	65.8536317	0.150848481
1	208	-0.388069125	66.07418987	0.150352863
1	209	-0.396590558	66.29017177	0.149890972
1	210	-0.404816716	66.50182376	0.149460036
1	211	-0.412751345	66.70918928	0.149057339
1	212	-0.420391054	66.91235133	0.148678447
1	213	-0.42773007	67.11119089	0.148320174
1	214	-0.434765939	67.30586833	0.147982682
1	215	-0.441500073	67.4963891	0.147664059
1	216	-0.447943568	67.68257921	0.14736234
1	217	-0.454106327	67.864501	0.14707526
1	218	-0.459991068	68.04197436	0.146800877
1	219	-0.465586928	68.21476134	0.146540058
1	220	-0.470923239	68.38301485	0.146291564
1	221	-0.475977	68.54634716	0.14605684
1	222	-0.480749238	68.70472881	0.145836468
1	223	-0.485249224	68.8584166	0.14563104
1	224	-0.48947634	69.00772526	0.145441319
1	225	-0.49342245	69.15266053	0.145268345
1	226	-0.497083037	69.29331745	0.14511206
1	227	-0.500447795	69.42968225	0.144972833
1	228	-0.503516151	69.5618631	0.144851769
1	229	-0.506289252	69.68984108	0.14475081
1	230	-0.508769544	69.81369309	0.144671383
2	61	-0.4681	18.2579	0.14295
2	62	-0.4711	18.4329	0.1435
2	63	-0.4742	18.6073	0.14404
2	64	-0.4773	18.7811	0.14459
2	65	-0.4803	18.9545	0.14514
2	66	-0.4834	19.1276	0.14569
2	67	-0.4864	19.3004	0.14624
2	68	-0.4894	19.473	0.14679
2	69	-0.4924	19.6455	0.14735
2	70	-0.4954	19.818	0.1479
2	71	-0.4984	19.9908	0.14845
2	72	-0.5013	20.1639	0.149
2	73	-0.5043	20.3377	0.14955
2	74	-0.5072	20.5124	0.1501
2	75	-0.51	20.6885	0.15065
2	76	-0.5129	20.8661	0.1512
2	77	-0.5157	21.0457	0.15175
2	78	-0.5185	21.2274	0.1523
2	79	-0.5213	21.4113	0.15284
2	80	-0.524	21.5979	0.15339
2	81	-0.5268	21.7872	0.15393
2	82	-0.5294	21.9795	0.15448
2	83	-0.5321	22.1751	0.15502
2	84	-0.5347	22.374	0.15556
2	85	-0.5372	22.5762	0.1561
2	86	-0.5398	22.7816	0.15663
2	87	-0.5423	22.9904	0.15717
2	88	-0.5447	23.2025	0.1577
2	89	-0.5471	23.418	0.15823
2	90	-0.5495	23.6369	0.15876
2	91	-0.5518	23.8593	0.15928
2	92	-0.5541	24.0853	0.1598
2	93	-0.5563	24.3149	0.16032
2	94	-0.5585	24.5482	0.16084
2	95	-0.5606	24.7853	0.16135
2	96	-0.5627	25.0262	0.16186
2	97	-0.5647	25.271	0.16237
2	98	-0.5667	25.5197	0.16287
2	99	-0.5686	25.7721	0.16337
2	100	-0.5704	26.0284	0.16386
2	101	-0.5722	26.2883	0.16435
2	102	-0.574	26.5519	0.16483
2	103	-0.5757	26.819	0.16532
2	104	-0.5773	27.0896	0.16579
2	105	-0.5789	27.3635	0.16626
2	106	-0.5804	27.6406	0.16673
2	107	-0.5819	27.9208	0.16719
2	108	-0.5833	28.204	0.16764
2	109	-0.5847	28.4901	0.16809
2	110	-0.5859	28.7791	0.16854
2	111	-0.5872	29.0711	0.16897
2	112	-0.5883	29.3663	0.16941
2	113	-0.5895	29.6646	0.16983
2	114	-0.5905	29.9663	0.17025
2	115	-0.5915	30.2715	0.17066
2	116	-0.5925	30.5805	0.17107
2	117	-0.5934	30.8934	0.17146
2	118	-0.5942	31.2105	0.17186
2	119	-0.595	31.5319	0.17224
2	120	-0.5958	31.8578	0.17262
2	121	-0.5958	31.8578	0.17262
2	122	-0.704038534	32.54883464	0.19605791
2	123	-0.68856503	32.87133101	0.197191282
2	124	-0.672944825	33.20115589	0.198288391
2	125	-0.657229013	33.5394296	0.199345872
2	126	-0.641468477	33.88703477	0.200359825
2	127	-0.625710389	34.24497471	0.201326998
2	128	-0.609997681	34.61417141	0.202244965
2	129	-0.594395562	34.9948771	0.203109586
2	130	-0.578925743	35.38720705	0.203918463
2	131	-0.563616325	35.79060591	0.204668017
2	132	-0.548468379	36.20452061	0.205355805
2	133	-0.53350658	36.62823981	0.205978706
2	134	-0.518755631	37.06127248	0.206534269
2	135	-0.504263495	37.50333341	0.207019814
2	136	-0.490083734	37.95419081	0.207432858
2	137	-0.476270041	38.41332614	0.207770503
2	138	-0.462877079	38.87979732	0.208030136
2	139	-0.449933769	39.35279147	0.208209598
2	140	-0.437497083	39.83107115	0.208307343
2	141	-0.425615437	40.3137207	0.208322192
2	142	-0.414346671	40.7995606	0.208253465
2	143	-0.403772179	41.28706102	0.208101556
2	144	-0.393928527	41.77520129	0.207867421
2	145	-0.384867281	42.26218037	0.207552768
2	146	-0.376615121	42.74625917	0.207158974
2	147	-0.369216692	43.2252587	0.206687672
2	148	-0.362711443	43.69782461	0.206139121
2	149	-0.357149844	44.16244801	0.205515177
2	150	-0.352554277	44.61835984	0.204817667
2	151	-0.348935396	45.06477507	0.204050248
2	152	-0.34628544	45.5011218	0.203214976
2	153	-0.344594928	45.92661976	0.202315958
2	154	-0.343860477	46.34092949	0.201355518
2	155	-0.344067195	46.74374525	0.200338598
2	156	-0.345210144	47.13515671	0.199268082
2	157	-0.347284273	47.51529674	0.19814855
2	158	-0.350264395	47.88426191	0.196983386
2	159	-0.354110446	48.24219877	0.195777188
2	160	-0.358786383	48.5893358	0.19453376
2	161	-0.364237798	48.92581644	0.193258482
2	162	-0.370433285	49.25182046	0.191956652
2	163	-0.377356564	49.5674775	0.190636005
2	164	-0.384989222	49.87292192	0.189302333
2	165	-0.393305223	50.16843382	0.187964223
2	166	-0.40230302	50.45460606	0.186627332
2	167	-0.411979181	50.73184534	0.18529655
2	168	-0.422324721	51.00036623	0.183976585
2	169	-0.433333049	51.26020892	0.182670156
2	170	-0.44497876	51.51136906	0.181381986
2	171	-0.457253737	51.75389464	0.180115076
2	172	-0.470132818	51.98790881	0.178872112
2	173	-0.483529953	52.21323174	0.177657484
2	174	-0.497383104	52.42926956	0.176472615
2	175	-0.511601747	52.63537191	0.175321723
2	176	-0.526115235	52.83139844	0.174206577
2	177	-0.540839762	53.01752152	0.173129424
2	178	-0.555727311	53.19388158	0.172088938
2	179	-0.570689737	53.36052787	0.171084993
2	180	-0.585632362	53.5175428	0.17011608
2	181	-0.600470617	53.66559844	0.169180174
2	182	-0.61512047	53.80549124	0.1682748
2	183	-0.629517828	53.93799324	0.167397359
2	184	-0.643595033	54.06415263	0.16654677
2	185	-0.657313136	54.18456689	0.165721227
2	186	-0.67061785	54.29969933	0.164920965
2	187	-0.683462442	54.40952875	0.164145804
2	188	-0.695777008	54.51403454	0.16339629
2	189	-0.707510127	54.61304151	0.162671613
2	190	-0.718593381	54.70683842	0.161972498
2	191	-0.72895243	54.79503692	0.161299301
2	192	-0.738500494	54.87736843	0.160652462
2	193	-0.74715961	54.95416387	0.160031208
2	194	-0.754875111	55.02579916	0.159432997
2	195	-0.761583222	55.09263094	0.158855812
2	196	-0.76724445	55.15479459	0.158297305
2	197	-0.771866404	55.21255294	0.157756267
2	198	-0.775493516	55.26609838	0.157232299
2	199	-0.778165169	55.31577097	0.156725876
2	200	-0.779929551	55.36153939	0.156235786
2	201	-0.780823157	55.40366493	0.155760932
2	202	-0.780872801	55.4420874	0.155299927
2	203	-0.780117018	55.47725415	0.154852116
2	204	-0.778610646	55.51029679	0.154416867
2	205	-0.776404037	55.54166991	0.153992745
2	206	-0.773542456	55.57166417	0.153578734
2	207	-0.770067795	55.60097929	0.153173518
2	208	-0.766021304	55.6304625	0.15277603
2	209	-0.761464579	55.66077929	0.152386453
2	210	-0.756465439	55.69260744	0.152006738
2	211	-0.751080614	55.72615506	0.151639266
2	212	-0.745374184	55.76133811	0.151286084
2	213	-0.739402317	55.79817607	0.150948135
2	214	-0.733216535	55.8370288	0.150626747
2	215	-0.726863816	55.87820286	0.150322485
2	216	-0.720375929	55.92178975	0.150035397
2	217	-0.713769422	55.96782335	0.149765642
2	218	-0.707051315	56.01623398	0.149512874
2	219	-0.70022836	56.06665223	0.149276983
2	220	-0.69332234	56.11903218	0.14905808
2	221	-0.68635853	56.17355223	0.148856416
2	222	-0.679356271	56.23020315	0.148671984
2	223	-0.672322442	56.28897641	0.148505622
2	224	-0.665245888	56.34949956	0.148357931
2	225	-0.658117985	56.41157958	0.148229449
2	226	-0.650933198	56.47504376	0.148121054
2	227	-0.64369535	56.54008698	0.148034526
2	228	-0.636416615	56.60693808	0.147970464
2	229	-0.629107375	56.675713	0.147930349
2	230	-0.621771454	56.746071	0.147914599
